City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,santiago de cao,-7.9605,-79.238,71.78,78,100,6.91,PE,Fri Aug  4 04:05:38 2023
1,laguna,-28.4837,-48.7817,63.7,89,99,2.82,BR,Fri Aug  4 04:05:38 2023
2,leh,34.1642,77.5848,68.22,43,68,4.25,IN,Fri Aug  4 04:05:38 2023
3,lively,37.9402,-81.2573,70.92,99,85,3.38,US,Fri Aug  4 04:05:39 2023
4,khorixas,-20.3738,14.9604,54.86,27,0,3.0,NA,Fri Aug  4 04:05:39 2023
5,kenitra,34.2646,-6.5702,61.61,81,0,5.59,MA,Fri Aug  4 04:05:39 2023
6,ancud,-41.8682,-73.8287,42.71,79,73,3.94,CL,Fri Aug  4 04:05:40 2023
7,albany,42.6512,-73.755,70.18,80,64,3.0,US,Fri Aug  4 03:59:17 2023
8,coutances,49.0478,-1.4455,56.26,95,37,8.55,FR,Fri Aug  4 04:05:40 2023
9,port-aux-francais,-49.3498,70.22,36.64,84,69,35.46,TF,Fri Aug  4 04:05:41 2023
10,uturoa,-16.7437,-151.4594,75.2,70,21,13.04,PF,Fri Aug  4 04:05:41 2023
11,margaret river,-33.9532,115.0769,55.09,66,100,8.19,AU,Fri Aug  4 03:59:16 2023
12,gadzhiyevo,69.2504,33.3153,66.02,73,98,10.11,RU,Fri Aug  4 04:05:41 2023
13,howard springs,-12.497,131.047,85.91,29,25,6.55,AU,Fri Aug  4 04:05:42 2023
14,gornopravdinsk,60.0603,69.9229,64.04,95,97,5.1,RU,Fri Aug  4 04:05:42 2023
15,bay city,43.5945,-83.8889,75.42,71,100,8.05,US,Fri Aug  4 04:05:42 2023
16,yerofey pavlovich,53.9592,121.9524,75.34,31,77,4.94,RU,Fri Aug  4 04:05:43 2023
17,bredasdorp,-34.5331,20.0428,57.2,59,100,5.68,ZA,Fri Aug  4 04:05:43 2023
18,katpur,21.2137,77.9073,74.86,90,100,9.93,IN,Fri Aug  4 04:05:43 2023
19,longyearbyen,78.2232,15.6464,53.87,87,75,16.11,SJ,Fri Aug  4 04:05:44 2023
20,jamestown,-15.9277,-5.7161,64.99,81,100,13.96,SH,Fri Aug  4 04:05:44 2023
21,invercargill,-46.4118,168.3471,46.02,95,100,8.99,NZ,Fri Aug  4 04:05:44 2023
22,grytviken,-54.2806,-36.5098,21.58,75,29,10.92,GS,Fri Aug  4 03:59:22 2023
23,egilsstadir,65.262,-14.4035,40.89,93,40,3.44,IS,Fri Aug  4 04:05:45 2023
24,edinburgh of the seven seas,-37.0676,-12.3108,53.87,71,100,38.9,SH,Fri Aug  4 03:59:20 2023
25,iqaluit,63.7494,-68.5219,46.35,81,75,3.44,CA,Fri Aug  4 04:05:45 2023
26,port alfred,-33.5982,26.8915,62.06,48,21,5.01,ZA,Fri Aug  4 04:05:46 2023
27,bethel,60.7922,-161.7558,64.44,72,75,11.5,US,Fri Aug  4 03:55:54 2023
28,nagqu,31.4786,92.0498,51.01,76,100,1.88,CN,Fri Aug  4 04:05:46 2023
29,st. john's,47.5615,-52.7126,61.25,82,75,8.05,CA,Fri Aug  4 04:01:15 2023
30,talnakh,69.494,88.3908,68.58,36,49,1.74,RU,Fri Aug  4 04:05:47 2023
31,santiago de cuba,20.0215,-75.8295,78.89,78,20,8.05,CU,Fri Aug  4 04:05:47 2023
32,wailua homesteads,22.0581,-159.3691,83.12,77,40,18.41,US,Fri Aug  4 04:05:48 2023
33,east london,-33.0192,27.8999,65.55,36,0,8.05,ZA,Fri Aug  4 04:05:48 2023
34,huanren,41.2681,125.3487,79.2,88,100,5.53,CN,Fri Aug  4 04:05:48 2023
35,colonia,50.94,6.96,59.54,87,40,5.75,DE,Fri Aug  4 04:00:26 2023
36,brisas de zicatela,15.8367,-97.0429,81.12,69,75,0.0,MX,Fri Aug  4 04:05:49 2023
37,salida,38.5347,-105.9989,69.42,38,40,4.09,US,Fri Aug  4 04:01:14 2023
38,chonchi,-42.624,-73.7724,40.51,91,64,2.75,CL,Fri Aug  4 04:05:50 2023
39,fisterra,42.9065,-9.2638,56.82,73,3,15.12,ES,Fri Aug  4 04:05:50 2023
40,west island,-12.1459,96.8423,78.85,78,100,19.57,CC,Fri Aug  4 04:05:50 2023
41,kapa'a,-33.929,18.4174,60.17,59,100,5.01,ZA,Fri Aug  4 04:05:51 2023
42,adamstown,-25.0667,-130.1002,66.65,79,97,13.87,PN,Fri Aug  4 03:59:12 2023
43,vyazniki,56.2451,42.1376,70.29,80,4,6.29,RU,Fri Aug  4 04:05:51 2023
44,darwin,-12.4604,130.841,86.09,48,0,11.5,AU,Fri Aug  4 04:05:52 2023
45,az zawr,17.0974,43.8033,72.39,63,36,4.88,YE,Fri Aug  4 04:05:52 2023
46,tazovsky,67.4735,78.7149,64.08,55,39,5.57,RU,Fri Aug  4 04:05:53 2023
47,mitu,36.1986,46.0868,78.78,17,0,3.02,IR,Fri Aug  4 04:05:53 2023
48,kargopol',61.5091,38.9408,68.13,75,9,7.29,RU,Fri Aug  4 04:05:53 2023
49,ust-nera,64.5664,143.2378,69.21,31,29,7.0,RU,Fri Aug  4 04:05:54 2023
50,thompson,55.7433,-97.8635,66.38,77,75,2.3,CA,Fri Aug  4 04:05:54 2023
51,kerikeri,-35.2273,173.9491,62.67,70,20,7.0,NZ,Fri Aug  4 04:05:54 2023
52,lihue,21.977,-159.3688,83.93,68,40,16.11,US,Fri Aug  4 03:59:10 2023
53,laojunmiao,33.3841,114.8906,94.06,57,0,5.26,CN,Fri Aug  4 04:05:55 2023
